name,price,review_count,rating,rounded_rating,content_rating,genres,platform,rating-2,rounded_rating-2,review_count-2,price-2,content_rating-2,genres-2,platform-2,Expected_app_life,purchase_price,net_income_lifespan
Discord - Chat for Gamers,$0.00 ,9152,4.5,4.5,4+,Social Networking,IOS,4.5,4.5,305347,$0.00 ,Teen,Communication,GOOGLE,10,10000,"$470,000.00 "
GroupMe,$0.00 ,28260,4.5,4.5,4+,Social Networking,IOS,4.5,4.5,330761,$0.00 ,Everyone,Communication,GOOGLE,10,10000,"$470,000.00 "
WhatsApp Messenger,$0.00 ,287589,4.5,4.5,4+,Social Networking,IOS,4.4,4.5,69119316,$0.00 ,Everyone,Communication,GOOGLE,10,10000,"$470,000.00 "
Edmodo,$0.00 ,7197,3.5,3.5,4+,Education,IOS,4.1,4,200058,$0.00 ,Everyone,Education,GOOGLE,8.5,10000,"$398,000.00 "
Google Classroom,$0.00 ,5942,4,4,4+,Education,IOS,4.2,4,69493,$0.00 ,Everyone,Education,GOOGLE,9,10000,"$422,000.00 "
TED,$0.00 ,5782,3.5,3.5,12+,Education,IOS,4.6,4.5,181893,$0.00 ,Everyone 10+,Education,GOOGLE,9,10000,"$422,000.00 "
Kids A-Z,$0.00 ,2887,3.5,3.5,4+,Education,IOS,4.2,4,26426,$0.00 ,Everyone,Education;Education,GOOGLE,8.5,10000,"$398,000.00 "
ClassDojo,$0.00 ,35440,4.5,4.5,4+,Education,IOS,4.4,4.5,148550,$0.00 ,Everyone,Education;Education,GOOGLE,10,10000,"$470,000.00 "
Star Chart,$0.00 ,13482,4.5,4.5,4+,Education,IOS,4.3,4.5,128808,$0.00 ,Everyone,Education;Education,GOOGLE,10,10000,"$470,000.00 "
PBS KIDS Video,$0.00 ,8651,3.5,3.5,4+,Education,IOS,4.2,4,36212,$0.00 ,Everyone,Education;Music & Video,GOOGLE,8.5,10000,"$398,000.00 "
LEGO® Juniors Create & Cruise,$0.00 ,6152,4,4,4+,Games,IOS,4.1,4,673203,$0.00 ,Everyone,Educational;Action & Adventure,GOOGLE,9,10000,"$422,000.00 "
AMC,$0.00 ,3105,2,2,12+,Entertainment,IOS,3.2,3,20843,$0.00 ,Teen,Entertainment,GOOGLE,6,10000,"$278,000.00 "
BET NOW - Watch Shows,$0.00 ,967,2.5,2.5,17+,Entertainment,IOS,4.2,4,14807,$0.00 ,Teen,Entertainment,GOOGLE,7.5,10000,"$350,000.00 "
MTV,$0.00 ,5987,2.5,2.5,12+,Entertainment,IOS,3.8,4,35279,$0.00 ,Teen,Entertainment,GOOGLE,7.5,10000,"$350,000.00 "
SHOWTIME,$0.00 ,1214,2.5,2.5,17+,Entertainment,IOS,4.2,4,12398,$0.00 ,Teen,Entertainment,GOOGLE,7.5,10000,"$350,000.00 "
Redbox,$0.00 ,60236,3,3,12+,Entertainment,IOS,4.1,4,115033,$0.00 ,Everyone,Entertainment,GOOGLE,8,10000,"$374,000.00 "
DIRECTV,$0.00 ,81006,3.5,3.5,4+,Entertainment,IOS,4.1,4,235486,$0.00 ,Teen,Entertainment,GOOGLE,8.5,10000,"$398,000.00 "
Amazon Prime Video,$0.00 ,43667,4,4,12+,Entertainment,IOS,4.2,4,411683,$0.00 ,Teen,Entertainment,GOOGLE,9,10000,"$422,000.00 "
iFunny :),$0.00 ,98344,3.5,3.5,17+,Entertainment,IOS,4.4,4.5,503757,$0.00 ,Mature 17+,Entertainment,GOOGLE,9,10000,"$422,000.00 "
Netflix,$0.00 ,308844,3.5,3.5,4+,Entertainment,IOS,4.4,4.5,5456208,$0.00 ,Teen,Entertainment,GOOGLE,9,10000,"$422,000.00 "
STARZ,$0.00 ,8971,3.5,3.5,17+,Entertainment,IOS,4.3,4.5,88185,$0.00 ,Mature 17+,Entertainment,GOOGLE,9,10000,"$422,000.00 "
Tom's Love Letters,$0.00 ,27711,4,4,4+,Entertainment,IOS,4.1,4,705805,$0.00 ,Everyone,Entertainment,GOOGLE,9,10000,"$422,000.00 "
Fandango Movies - Times + Tickets,$0.00 ,291787,4,4,4+,Entertainment,IOS,4.6,4.5,243747,$0.00 ,Teen,Entertainment,GOOGLE,9.5,10000,"$446,000.00 "
Talking Ginger 2,$0.00 ,8311,4.5,4.5,4+,Entertainment,IOS,4.2,4,702975,$0.00 ,Everyone,Entertainment,GOOGLE,9.5,10000,"$446,000.00 "
WWE,$0.00 ,7553,4,4,12+,Entertainment,IOS,4.5,4.5,736864,$0.00 ,Teen,Entertainment,GOOGLE,9.5,10000,"$446,000.00 "
Regal Cinemas,$0.00 ,13257,4.5,4.5,4+,Entertainment,IOS,4.3,4.5,32732,$0.00 ,Everyone,Entertainment,GOOGLE,10,10000,"$470,000.00 "
The CW,$0.00 ,97368,4.5,4.5,12+,Entertainment,IOS,4.4,4.5,288150,$0.00 ,Teen,Entertainment,GOOGLE,10,10000,"$470,000.00 "
Xbox,$0.00 ,72187,4.5,4.5,12+,Entertainment,IOS,4.3,4.5,556659,$0.00 ,Everyone,Entertainment,GOOGLE,10,10000,"$470,000.00 "
Mad Libs,$0.00 ,117889,3,3,4+,Entertainment,IOS,4,4,8126,$0.00 ,Everyone,Entertainment;Brain Games,GOOGLE,8,10000,"$374,000.00 "
Nick,$0.00 ,13237,3.5,3.5,4+,Entertainment,IOS,4.2,4,123279,$0.00 ,Everyone 10+,Entertainment;Music & Video,GOOGLE,8.5,10000,"$398,000.00 "
YouTube Kids,$0.00 ,28560,4.5,4.5,4+,Entertainment,IOS,4.5,4.5,470089,$0.00 ,Everyone,Entertainment;Music & Video,GOOGLE,10,10000,"$470,000.00 "
U by BB&T,$0.00 ,790,2,2,4+,Finance,IOS,4.3,4.5,16600,$0.00 ,Everyone,Finance,GOOGLE,7.5,10000,"$350,000.00 "
Citi Mobile®,$0.00 ,48822,3.5,3.5,4+,Finance,IOS,4,4,78306,$0.00 ,Everyone,Finance,GOOGLE,8.5,10000,"$398,000.00 "
Wells Fargo Mobile,$0.00 ,43064,3,3,4+,Finance,IOS,4.4,4.5,250706,$0.00 ,Everyone,Finance,GOOGLE,8.5,10000,"$398,000.00 "
Amex Mobile,$0.00 ,11421,4,4,4+,Finance,IOS,4.3,4.5,24729,$0.00 ,Everyone,Finance,GOOGLE,9.5,10000,"$446,000.00 "
USAA Mobile,$0.00 ,19946,4,4,4+,Finance,IOS,4.5,4.5,100997,$0.00 ,Everyone,Finance,GOOGLE,9.5,10000,"$446,000.00 "
Chase Mobile,$0.00 ,34322,4.5,4.5,4+,Finance,IOS,4.6,4.5,1374549,$0.00 ,Everyone,Finance,GOOGLE,10,10000,"$470,000.00 "
McDonald's,$0.00 ,4050,2,2,4+,Food & Drink,IOS,3.6,3.5,145323,$0.00 ,Everyone,Food & Drink,GOOGLE,6.5,10000,"$302,000.00 "
Whataburger,$0.00 ,197,3,3,4+,Food & Drink,IOS,4.5,4.5,5093,$0.00 ,Everyone,Food & Drink,GOOGLE,8.5,10000,"$398,000.00 "
Allrecipes Dinner Spinner,$0.00 ,109349,3.5,3.5,12+,Food & Drink,IOS,4.5,4.5,61881,$0.00 ,Everyone,Food & Drink,GOOGLE,9,10000,"$422,000.00 "
Chick-fil-A,$0.00 ,5665,3.5,3.5,4+,Food & Drink,IOS,4.3,4.5,28008,$0.00 ,Everyone,Food & Drink,GOOGLE,9,10000,"$422,000.00 "
SONIC Drive-In,$0.00 ,1645,4,4,4+,Food & Drink,IOS,4.3,4.5,19314,$0.00 ,Everyone,Food & Drink,GOOGLE,9.5,10000,"$446,000.00 "
DoorDash - Food Delivery,$0.00 ,25947,4.5,4.5,4+,Food & Drink,IOS,4.5,4.5,104504,$0.00 ,Everyone,Food & Drink,GOOGLE,10,10000,"$470,000.00 "
Starbucks,$0.00 ,303856,4.5,4.5,4+,Food & Drink,IOS,4.5,4.5,455377,$0.00 ,Everyone,Food & Drink,GOOGLE,10,10000,"$470,000.00 "
Domino's Pizza USA,$0.00 ,258624,5,5,4+,Food & Drink,IOS,4.7,4.5,1032935,$0.00 ,Everyone,Food & Drink,GOOGLE,10.5,10000,"$494,000.00 "
Geocaching®,$0.00 ,12811,3.5,3.5,4+,Navigation,IOS,4.1,4,62616,$0.00 ,Teen,Health & Fitness,GOOGLE,8.5,10000,"$398,000.00 "
Fitbit,$0.00 ,90496,4,4,4+,Health & Fitness,IOS,3.9,4,357417,$0.00 ,Everyone,Health & Fitness,GOOGLE,9,10000,"$422,000.00 "
Seven - 7 Minute Workout Training Challenge,$0.00 ,6808,4.5,4.5,4+,Health & Fitness,IOS,4.5,4.5,75571,$0.00 ,Everyone,Health & Fitness,GOOGLE,10,10000,"$470,000.00 "
Philips Hue,$0.00 ,1999,1.5,1.5,4+,Lifestyle,IOS,3.1,3,10006,$0.00 ,Everyone,Lifestyle,GOOGLE,5.5,10000,"$254,000.00 "
myChevrolet,$0.00 ,1083,2,2,17+,Lifestyle,IOS,3.5,3.5,6747,$0.00 ,Everyone,Lifestyle,GOOGLE,6.5,10000,"$302,000.00 "
T-Mobile Tuesdays,$0.00 ,3213,2.5,2.5,17+,Lifestyle,IOS,4,4,53144,$0.00 ,Everyone,Lifestyle,GOOGLE,7.5,10000,"$350,000.00 "
H&M,$0.00 ,687,3,3,4+,Shopping,IOS,3.7,3.5,41941,$0.00 ,Everyone,Lifestyle,GOOGLE,7.5,10000,"$350,000.00 "
Tinder,$0.00 ,143040,3.5,3.5,17+,Lifestyle,IOS,4,4,2789775,$0.00 ,Mature 17+,Lifestyle,GOOGLE,8.5,10000,"$398,000.00 "
Fuel Rewards® program,$0.00 ,2249,4.5,4.5,4+,Shopping,IOS,4.6,4.5,32433,$0.00 ,Everyone,Lifestyle,GOOGLE,10,10000,"$470,000.00 "
Uber,$0.00 ,49466,3,3,4+,Travel,IOS,4.2,4,4928420,$0.00 ,Everyone,Maps & Navigation,GOOGLE,8,10000,"$374,000.00 "
DB Navigator,$0.00 ,512,3.5,3.5,4+,Travel,IOS,4,4,119685,$0.00 ,Everyone,Maps & Navigation,GOOGLE,8.5,10000,"$398,000.00 "
Just Dance Now,$0.00 ,2535,3.5,3.5,4+,Games,IOS,4.2,4,794058,$0.00 ,Everyone,Music,GOOGLE,8.5,10000,"$398,000.00 "
Sky News,$0.00 ,118,3,3,12+,News,IOS,4,4,30287,$0.00 ,Everyone 10+,News & Magazines,GOOGLE,8,10000,"$374,000.00 "
