name,price,review_count,rating,rounded_rating,content_rating,primary_genre,platform,rating-2,rounded_rating,review_count-2,price-2,content_rating-2,genre,platform-2,app_life,net_income
SimCity BuildIt,$0.00 ,198338,4.5,4.5,4+,Games,ios,4.5,4.5,4218587,$0.00 ,Everyone 10+,Simulation,google,10," $470,000.00 "
Smash Hit,$0.00 ,126233,4.5,4.5,4+,Games,ios,4.5,4.5,4147718,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Smashy Road: Arena,$0.00 ,3207,4.5,4.5,9+,Games,ios,4.3,4.5,45558,$0.00 ,Everyone 10+,Action,google,10," $470,000.00 "
Solitaire,$0.00 ,679055,4.5,4.5,4+,Games,ios,4.7,4.5,254258,$0.00 ,Everyone,Card,google,10," $470,000.00 "
Sonic Dash,$0.00 ,418033,4.5,4.5,4+,Games,ios,4.5,4.5,3778921,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Star Chart,$0.00 ,13482,4.5,4.5,4+,Education,ios,4.3,4.5,128808,$0.00 ,Everyone,Education;Education,google,10," $470,000.00 "
Star Wars™: Galaxy of Heroes,$0.00 ,122260,4.5,4.5,9+,Games,ios,4.5,4.5,1461698,$0.00 ,Everyone 10+,Role Playing,google,10," $470,000.00 "
Starbucks,$0.00 ,303856,4.5,4.5,4+,Food & Drink,ios,4.5,4.5,455377,$0.00 ,Everyone,Food & Drink,google,10," $470,000.00 "
Storm Shield,$2.99 ,2516,4.5,,12+,Weather,ios,3.5,,2000,$0.00 ,Everyone,Weather,google,,
Subway Surfers,$0.00 ,706110,4.5,4.5,9+,Games,ios,4.5,4.5,27722264,$0.00 ,Everyone 10+,Arcade,google,10," $470,000.00 "
"sugar, sugar",$0.99 ,139,4.5,,4+,Games,ios,4.2,,1405,$1.20 ,Everyone,Puzzle,google,," $(10,000.00)"
Summoners War,$0.00 ,137122,4.5,4.5,12+,Games,ios,4.3,4.5,2045554,$0.00 ,Teen,Role Playing,google,10," $470,000.00 "
Super Jabber Jump,$0.00 ,612,4.5,4.5,4+,Games,ios,4.3,4.5,85882,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Swamp Attack,$0.00 ,16968,4.5,4.5,17+,Games,ios,4.4,4.5,2119218,$0.00 ,Everyone 10+,Action,google,10," $470,000.00 "
Talking Ginger 2,$0.00 ,8311,4.5,4.5,4+,Entertainment,ios,4.2,4,702975,$0.00 ,Everyone,Entertainment,google,9.5," $446,000.00 "
